,TICKER,Patrimonio Liq,Ativos,Ativo Circulante,Divida Bruta,Disponbilidade,Divida Liq,Valor de Merc,Valor de Firma,Liquidez Media,Setor,Subsetor,Segmento
0,AALR3,1.015.113.000,2.748.190.000,620.452.000,1.051.383.000,294.614.000,756.769.000,"<strong class=""value"">1.344.989.318</strong>",2.101.758.318,"<strong class=""value"">865.557,59</strong>",Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos
1,ABCB4,5.721.701.000,55.908.366.000,106.930.000,-,106.930.000,-,"<strong class=""value"">5.227.203.528</strong>",5.227.203.528,"<strong class=""value"">12.358.435,63</strong>",Financeiro e Outros,Intermediários Financeiros,Bancos
2,ABEV3,90.254.900.000,137.914.205.000,37.552.669.000,3.717.671.000,17.641.070.000,-13.923.399.000,"<strong class=""value"">224.964.739.296</strong>",211.041.340.296,"<strong class=""value"">320.003.627,48</strong>",Consumo não Cíclico,Bebidas,Cervejas e Refrigerantes
3,ADHM3,-19.776.000,242.000,23.000,0,0,0,"<strong class=""value"">25.439.770</strong>",25.439.770,"<strong class=""value"">-</strong>",Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos
4,AERI3,815.079.000,3.821.647.000,2.586.438.000,1.767.178.000,743.647.000,1.023.531.000,"<strong class=""value"">1.031.195.264</strong>",2.054.726.264,"<strong class=""value"">4.076.161,59</strong>",Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
5,AESB3,4.469.481.000,19.825.638.000,3.337.524.000,11.696.973.000,2.470.843.000,9.226.130.000,"<strong class=""value"">6.928.183.350</strong>",16.154.313.350,"<strong class=""value"">20.930.822,96</strong>",Utilidade Pública,Energia Elétrica,Energia Elétrica
6,AFLT3,261.604.000,312.768.000,61.643.000,185.000,11.967.000,-11.782.000,"<strong class=""value"">504.677.600</strong>",492.895.600,"<strong class=""value"">6.895,88</strong>",Utilidade Pública,Energia Elétrica,Energia Elétrica
7,AGRO3,2.197.142.000,3.508.075.000,1.349.500.000,871.971.000,412.042.000,459.929.000,"<strong class=""value"">2.493.154.020</strong>",2.953.083.020,"<strong class=""value"">12.164.763,70</strong>",Consumo não Cíclico,Agropecuária,Agricultura
8,AGXY3,1.024.287.000,7.827.618.000,6.119.132.000,1.773.000.000,722.510.000,1.050.490.000,"<strong class=""value"">649.134.958</strong>",1.699.624.958,"<strong class=""value"">280.454,59</strong>",Consumo não Cíclico,Agropecuária,Agricultura
9,AHEB3,16.700.000,371.538.000,161.101.000,4.100.000,6.896.000,-2.796.000,"<strong class=""value"">145.274.510</strong>",142.478.510,"<strong class=""value"">5.052,50</strong>",Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows
10,AHEB5,16.700.000,371.538.000,161.101.000,4.100.000,6.896.000,-2.796.000,"<strong class=""value"">145.274.510</strong>",142.478.510,"<strong class=""value"">2.203,00</strong>",Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows
11,AHEB6,16.700.000,371.538.000,161.101.000,4.100.000,6.896.000,-2.796.000,"<strong class=""value"">145.274.510</strong>",142.478.510,"<strong class=""value"">1.702,00</strong>",Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows
12,ALLD3,1.552.723.000,3.462.033.000,2.397.613.000,590.943.000,339.175.000,251.768.000,"<strong class=""value"">631.103.340</strong>",882.871.340,"<strong class=""value"">255.201,26</strong>",Consumo Cíclico,Comércio,Eletrodomésticos
13,ALPA3,5.390.030.000,7.902.397.000,3.106.687.000,1.522.713.000,694.176.000,828.537.000,"<strong class=""value"">6.300.582.259</strong>",7.129.119.259,"<strong class=""value"">27.089,44</strong>",Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados
14,ALPA4,5.390.030.000,7.902.397.000,3.106.687.000,1.522.713.000,694.176.000,828.537.000,"<strong class=""value"">6.300.582.259</strong>",7.129.119.259,"<strong class=""value"">37.954.742,70</strong>",Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados
15,ALPK3,380.467.000,2.574.611.000,363.598.000,1.438.886.000,231.150.000,1.207.736.000,"<strong class=""value"">915.841.386</strong>",2.123.577.386,"<strong class=""value"">802.875,04</strong>",Bens Industriais,Serviços,Serviços Diversos
16,ALSC3,2.593.964.000,4.738.204.000,742.653.000,0,541.181.000,-541.181.000,"<strong class=""value"">5.694.242.308</strong>",5.153.061.308,"<strong class=""value"">-</strong>",Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis
17,ALSO3,14.703.028.000,27.981.219.000,2.787.626.000,0,1.636.599.000,-1.636.599.000,"<strong class=""value"">14.359.901.463</strong>",12.723.302.463,"<strong class=""value"">129.684.049,00</strong>",Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis
18,ALUP11,"


()

",7.541.459.000,28.272.649.000,5.382.207.000,11.620.117.000,2.716.198.000,"<strong class=""value"">8.903.919.000</strong>",8.920.283.285,"<strong class=""value"">100 %</strong>", ,Utilidade Pública,Energia Elétrica
19,ALUP3,7.541.459.000,28.272.649.000,5.382.207.000,11.620.117.000,2.716.198.000,8.903.919.000,"<strong class=""value"">8.920.283.285</strong>",17.824.202.285,"<strong class=""value"">132.833,37</strong>",Utilidade Pública,Energia Elétrica,Energia Elétrica
20,ALUP4,7.541.459.000,28.272.649.000,5.382.207.000,11.620.117.000,2.716.198.000,8.903.919.000,"<strong class=""value"">8.920.283.285</strong>",17.824.202.285,"<strong class=""value"">176.927,19</strong>",Utilidade Pública,Energia Elétrica,Energia Elétrica
21,AMAR3,107.804.000,2.479.688.000,978.950.000,1.323.245.000,210.083.000,1.113.162.000,"<strong class=""value"">254.389.439</strong>",1.367.551.439,"<strong class=""value"">3.754.341,74</strong>",Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados
22,AMBP3,989.635.000,10.510.525.000,4.446.475.000,7.076.858.000,2.561.393.000,4.515.465.000,"<strong class=""value"">2.587.478.551</strong>",7.102.943.551,"<strong class=""value"">19.477.873,07</strong>",Utilidade Pública,Água e Saneamento,Água e Saneamento
23,AMER3,-26.666.621.000,31.292.260.000,17.048.712.000,22.749.524.000,6.072.935.000,16.676.589.000,"<strong class=""value"">812.276.553</strong>",17.488.865.553,"<strong class=""value"">24.796.367,67</strong>",Consumo Cíclico,Comércio,Produtos Diversos
24,ANDG3B,1.483.493.000,1.753.215.000,45.022.000,209.401.000,9.246.000,200.155.000,"<strong class=""value"">1.651.867.986</strong>",1.852.022.986,"<strong class=""value"">-</strong>",Financeiro e Outros,Holdings Diversificadas,Holdings Diversificadas
25,ANDG4B,1.483.493.000,1.753.215.000,45.022.000,209.401.000,9.246.000,200.155.000,"<strong class=""value"">1.651.867.986</strong>",1.852.022.986,"<strong class=""value"">-</strong>",Financeiro e Outros,Holdings Diversificadas,Holdings Diversificadas
26,ANIM3,2.551.291.000,9.921.427.000,1.906.974.000,5.047.250.000,1.046.568.000,4.000.682.000,"<strong class=""value"">1.676.055.541</strong>",5.676.737.541,"<strong class=""value"">35.870.794,63</strong>",Consumo Cíclico,Diversos,Serviços Educacionais
27,APER3,477.848.000,820.070.000,167.803.000,50.406.000,61.878.000,-11.472.000,"<strong class=""value"">495.826.987</strong>",484.354.987,"<strong class=""value"">7.305.528,33</strong>",Financeiro e Outros,Previdência e Seguros,Corretoras de Seguros
28,APTI3,213.107.000,478.013.000,190.346.000,53.752.000,68.720.000,-14.968.000,"<strong class=""value"">44.442.750</strong>",29.474.750,"<strong class=""value"">-</strong>",Consumo não Cíclico,Agropecuária,Agricultura
29,APTI4,213.107.000,478.013.000,190.346.000,53.752.000,68.720.000,-14.968.000,"<strong class=""value"">44.442.750</strong>",29.474.750,"<strong class=""value"">-</strong>",Consumo não Cíclico,Agropecuária,Agricultura
30,ARML3,1.213.295.000,3.964.457.000,1.228.790.000,2.203.467.000,787.044.000,1.416.423.000,"<strong class=""value"">5.840.750.772</strong>",7.257.173.772,"<strong class=""value"">11.810.135,48</strong>",Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
31,ARZZ3,2.891.405.000,5.634.418.000,2.683.764.000,1.092.501.000,643.566.000,448.935.000,"<strong class=""value"">7.107.748.752</strong>",7.556.683.752,"<strong class=""value"">135.231.436,30</strong>",Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados
32,ASAI3,4.325.000.000,41.341.000.000,13.215.000.000,14.094.000.000,4.417.000.000,9.677.000.000,"<strong class=""value"">16.152.540.150</strong>",25.829.540.150,"<strong class=""value"">181.963.423,15</strong>",Consumo não Cíclico,Comércio e Distribuição,Alimentos
33,ATMP3,-16.770.000,1.525.706.000,397.835.000,229.978.000,73.836.000,156.142.000,"<strong class=""value"">92.150.728</strong>",248.292.728,"<strong class=""value"">108.577,67</strong>",Bens Industriais,Serviços,Serviços Diversos
34,ATOM3,18.297.000,28.113.000,27.495.000,0,20.585.000,-20.585.000,"<strong class=""value"">50.228.335</strong>",29.643.335,"<strong class=""value"">27.670,04</strong>",Financeiro e Outros,Outros,Outros
35,AURA33,1.697.636.000,4.220.661.000,1.621.526.000,1.496.076.000,896.306.000,599.770.000,"<strong class=""value"">2.448.396.541</strong>",3.048.166.541,"<strong class=""value"">2.616.261,59</strong>",Materiais Básicos,Mineração,Minerais Metálicos
36,AURE3,13.962.400.000,31.219.220.000,7.789.645.000,6.212.668.000,4.904.741.000,1.307.927.000,"<strong class=""value"">13.300.000.000</strong>",14.607.927.000,"<strong class=""value"">89.117.958,00</strong>",Utilidade Pública,Energia Elétrica,Energia Elétrica
37,AVLL3,-636.418.000,1.345.601.000,358.362.000,1.153.074.000,134.763.000,1.018.311.000,"<strong class=""value"">150.229.868</strong>",1.168.540.868,"<strong class=""value"">8.284,00</strong>",Consumo Cíclico,Construção Civil,Incorporações
38,AZEV3,140.013.000,601.574.000,242.711.000,43.027.000,1.821.000,41.206.000,"<strong class=""value"">375.101.750</strong>",416.307.750,"<strong class=""value"">1.530.103,70</strong>",Bens Industriais,Construção e Engenharia,Construção Pesada
39,AZEV4,140.013.000,601.574.000,242.711.000,43.027.000,1.821.000,41.206.000,"<strong class=""value"">375.101.750</strong>",416.307.750,"<strong class=""value"">4.730.504,56</strong>",Bens Industriais,Construção e Engenharia,Construção Pesada
40,AZUL4,-21.286.126.000,19.605.095.000,5.931.435.000,26.575.083.000,1.399.392.000,25.175.691.000,"<strong class=""value"">5.544.971.888</strong>",30.720.662.888,"<strong class=""value"">204.876.644,85</strong>",Bens Industriais,Transporte,Transporte Aéreo
41,B3SA3,20.233.838.000,47.872.683.000,17.212.889.000,11.577.022.000,14.930.980.000,-3.353.958.000,"<strong class=""value"">78.260.490.000</strong>",74.906.532.000,"<strong class=""value"">455.762.189,33</strong>",Financeiro e Outros,Serviços Financeiros Diversos,Serviços Financeiros Diversos
42,BAHI3,43.092.000,624.393.000,33.857.000,188.839.000,10.242.000,178.597.000,"<strong class=""value"">211.652.468</strong>",390.249.468,"<strong class=""value"">43.071,48</strong>",Consumo Cíclico,Diversos,Serviços Educacionais
43,BALM3,146.999.000,249.702.000,176.352.000,22.140.000,54.613.000,-32.473.000,"<strong class=""value"">103.047.000</strong>",70.574.000,"<strong class=""value"">2.739,50</strong>",Saúde,Equipamentos,Equipamentos
44,BALM4,146.999.000,249.702.000,176.352.000,22.140.000,54.613.000,-32.473.000,"<strong class=""value"">103.047.000</strong>",70.574.000,"<strong class=""value"">11.498,38</strong>",Saúde,Equipamentos,Equipamentos
45,BAUH4,98.833.000,163.453.000,74.547.000,8.357.000,30.426.000,-22.069.000,"<strong class=""value"">391.666.650</strong>",369.597.650,"<strong class=""value"">28.000,09</strong>",Consumo não Cíclico,Alimentos Processados,Carnes e Derivados
46,BAZA3,5.811.577.000,42.722.537.000,1.242.999.000,-,1.242.999.000,-,"<strong class=""value"">4.619.205.156</strong>",4.619.205.156,"<strong class=""value"">241.792,22</strong>",Financeiro e Outros,Intermediários Financeiros,Bancos
47,BBAS3,165.687.124.000,2.226.283.389.000,61.474.864.000,-,61.474.864.000,-,"<strong class=""value"">155.907.340.058</strong>",155.907.340.058,"<strong class=""value"">532.244.679,19</strong>",Financeiro e Outros,Intermediários Financeiros,Bancos
48,BBDC3,166.230.067.000,1.895.059.109.000,251.798.696.000,-,251.798.696.000,-,"<strong class=""value"">162.913.740.231</strong>",162.913.740.231,"<strong class=""value"">88.086.675,04</strong>",Financeiro e Outros,Intermediários Financeiros,Bancos
49,BBDC4,166.230.067.000,1.895.059.109.000,251.798.696.000,-,251.798.696.000,-,"<strong class=""value"">162.913.740.231</strong>",162.913.740.231,"<strong class=""value"">622.028.699,74</strong>",Financeiro e Outros,Intermediários Financeiros,Bancos
50,BBML3,1.073.000,1.041.245.000,400.948.000,493.563.000,59.559.000,434.004.000,"<strong class=""value"">160.451.699.192</strong>",160.885.703.192,"<strong class=""value"">-</strong>",Bens Industriais,Serviços,Serviços Diversos
51,BBSE3,10.663.193.000,16.236.658.000,4.553.477.000,-,3.367.113.000,-,"<strong class=""value"">62.480.000.000</strong>",62.480.000.000,"<strong class=""value"">178.839.831,44</strong>",Financeiro e Outros,Previdência e Seguros,Seguradoras
52,BDLL3,-155.603.000,627.998.000,307.174.000,185.512.000,26.503.000,159.009.000,"<strong class=""value"">14.806.035</strong>",173.815.035,"<strong class=""value"">1.150,00</strong>",Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
53,BDLL4,-155.603.000,627.998.000,307.174.000,185.512.000,26.503.000,159.009.000,"<strong class=""value"">14.806.035</strong>",173.815.035,"<strong class=""value"">10.169,63</strong>",Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
54,BEEF11,627.948.000,25.906.758.000,15.167.947.000,19.421.731.000,10.457.294.000,8.964.437.000,"<strong class=""value"">4.390.659.033</strong>",13.355.096.033,"<strong class=""value"">-</strong>",Consumo não Cíclico,Alimentos Processados,Carnes e Derivados
55,BEEF3,627.948.000,25.906.758.000,15.167.947.000,19.421.731.000,10.457.294.000,8.964.437.000,"<strong class=""value"">4.390.659.033</strong>",13.355.096.033,"<strong class=""value"">123.030.901,56</strong>",Consumo não Cíclico,Alimentos Processados,Carnes e Derivados
56,BEES3,2.106.532.000,41.685.487.000,3.202.328.000,-,3.202.328.000,-,"<strong class=""value"">2.768.643.781</strong>",2.768.643.781,"<strong class=""value"">116.770,44</strong>",Financeiro e Outros,Intermediários Financeiros,Bancos
57,BEES4,2.106.532.000,41.685.487.000,3.202.328.000,-,3.202.328.000,-,"<strong class=""value"">2.768.643.781</strong>",2.768.643.781,"<strong class=""value"">41.364,15</strong>",Financeiro e Outros,Intermediários Financeiros,Bancos
58,BFRE11,216.857.000,243.902.000,107.000,-,107.000,-,"<strong class=""value"">-</strong>",-,"<strong class=""value"">-</strong>",Financeiro e Outros,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos
59,BFRE12,216.857.000,243.902.000,107.000,-,107.000,-,"<strong class=""value"">-</strong>",-,"<strong class=""value"">-</strong>",Financeiro e Outros,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos
60,BGIP3,616.709.000,8.905.091.000,4.304.367.000,-,2.114.406.000,-,"<strong class=""value"">404.052.922</strong>",404.052.922,"<strong class=""value"">2.580,20</strong>",Financeiro e Outros,Intermediários Financeiros,Bancos
61,BGIP4,616.709.000,8.905.091.000,4.304.367.000,-,2.114.406.000,-,"<strong class=""value"">404.052.922</strong>",404.052.922,"<strong class=""value"">19.304,85</strong>",Financeiro e Outros,Intermediários Financeiros,Bancos
62,BHIA3,4.434.000.000,32.269.000.000,13.375.000.000,8.654.000.000,1.642.000.000,7.012.000.000,"<strong class=""value"">1.188.540.394</strong>",8.200.540.394,"<strong class=""value"">44.680.721,07</strong>",Consumo Cíclico,Comércio,Eletrodomésticos
63,BIDI11,"


()

",8.357.164.000,38.625.095.000,1.171.640.000,-,0,"<strong class=""value"">-</strong>",8.991.139.765,"<strong class=""value"">100 %</strong>", ,Financeiro e Outros,Intermediários Financeiros
64,BIDI3,8.357.164.000,38.625.095.000,1.171.640.000,-,0,-,"<strong class=""value"">8.991.139.765</strong>",8.991.139.765,"<strong class=""value"">-</strong>",Financeiro e Outros,Intermediários Financeiros,Bancos
65,BIDI4,8.357.164.000,38.625.095.000,1.171.640.000,-,0,-,"<strong class=""value"">8.991.139.765</strong>",8.991.139.765,"<strong class=""value"">-</strong>",Financeiro e Outros,Intermediários Financeiros,Bancos
66,BIOM3,99.012.000,339.405.000,121.465.000,156.004.000,46.350.000,109.654.000,"<strong class=""value"">565.787.057</strong>",675.441.057,"<strong class=""value"">81.635,93</strong>",Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos
67,BLAU3,1.974.821.000,3.074.044.000,1.626.550.000,602.548.000,471.940.000,130.608.000,"<strong class=""value"">2.875.684.842</strong>",3.006.292.842,"<strong class=""value"">10.691.836,11</strong>",Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos
68,BLUT3,57.197.000,189.813.000,67.000,6.748.000,1.000,6.747.000,"<strong class=""value"">14.115.600</strong>",20.862.600,"<strong class=""value"">-</strong>",Financeiro e Outros,Holdings Diversificadas,Holdings Diversificadas
69,BLUT4,57.197.000,189.813.000,67.000,6.748.000,1.000,6.747.000,"<strong class=""value"">14.115.600</strong>",20.862.600,"<strong class=""value"">-</strong>",Financeiro e Outros,Holdings Diversificadas,Holdings Diversificadas
70,BMEB3,1.463.304.000,18.096.624.000,1.993.976.000,-,1.993.976.000,-,"<strong class=""value"">1.681.607.745</strong>",1.681.607.745,"<strong class=""value"">24.828,95</strong>",Financeiro e Outros,Intermediários Financeiros,Bancos
71,BMEB4,1.463.304.000,18.096.624.000,1.993.976.000,-,1.993.976.000,-,"<strong class=""value"">1.681.607.745</strong>",1.681.607.745,"<strong class=""value"">240.415,33</strong>",Financeiro e Outros,Intermediários Financeiros,Bancos
72,BMGB4,4.141.792.000,44.002.223.000,668.089.000,-,222.490.000,-,"<strong class=""value"">1.568.895.186</strong>",1.568.895.186,"<strong class=""value"">1.747.198,48</strong>",Financeiro e Outros,Intermediários Financeiros,Bancos
73,BMIN3,137.006.000,258.653.000,1.187.000,-,1.187.000,-,"<strong class=""value"">99.716.747</strong>",99.716.747,"<strong class=""value"">6.004,17</strong>",Financeiro e Outros,Intermediários Financeiros,Bancos
74,BMIN4,137.006.000,258.653.000,1.187.000,-,1.187.000,-,"<strong class=""value"">99.716.747</strong>",99.716.747,"<strong class=""value"">10.202,06</strong>",Financeiro e Outros,Intermediários Financeiros,Bancos
75,BMKS3,204.650.000,234.960.000,177.579.000,6.111.000,163.411.000,-157.300.000,"<strong class=""value"">153.250.750</strong>",-4.049.250,"<strong class=""value"">9.709,44</strong>",Consumo Cíclico,Viagens e Lazer,Bicicletas
76,BMOB3,1.080.028.000,1.393.536.000,926.838.000,0,535.343.000,-535.343.000,"<strong class=""value"">1.118.867.479</strong>",583.524.479,"<strong class=""value"">5.845.779,63</strong>",Tecnologia da Informação,Programas e Serviços,Programas e Serviços
77,BNBR3,10.267.025.000,64.847.130.000,2.530.966.000,-,2.530.966.000,-,"<strong class=""value"">8.602.597.814</strong>",8.602.597.814,"<strong class=""value"">23.421,79</strong>",Financeiro e Outros,Intermediários Financeiros,Bancos
78,BOAS3,2.298.766.000,2.479.573.000,1.372.109.000,8.425.000,1.146.463.000,-1.138.038.000,"<strong class=""value"">4.212.250.618</strong>",3.074.212.618,"<strong class=""value"">53.310.276,50</strong>",Financeiro e Outros,Serviços Financeiros Diversos,Serviços Financeiros Diversos
79,BOBR3,-71.947.000,900.800.000,438.032.000,420.030.000,56.810.000,363.220.000,"<strong class=""value"">244.559.979</strong>",607.779.979,"<strong class=""value"">-</strong>",Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,Produtos de Limpeza
80,BOBR4,-71.947.000,900.800.000,438.032.000,420.030.000,56.810.000,363.220.000,"<strong class=""value"">244.559.979</strong>",607.779.979,"<strong class=""value"">111.061,30</strong>",Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,Produtos de Limpeza
81,BPAC11,"


()

",47.772.327.000,426.162.298.000,384.549.933.000,-,76.965.983.000,"<strong class=""value"">-</strong>",132.243.671.706,"<strong class=""value"">100 %</strong>", ,Financeiro e Outros,Intermediários Financeiros
82,BPAC3,47.772.327.000,426.162.298.000,384.549.933.000,-,76.965.983.000,-,"<strong class=""value"">132.243.671.706</strong>",132.243.671.706,"<strong class=""value"">142.262,70</strong>",Financeiro e Outros,Intermediários Financeiros,Bancos
83,BPAC5,47.772.327.000,426.162.298.000,384.549.933.000,-,76.965.983.000,-,"<strong class=""value"">132.243.671.706</strong>",132.243.671.706,"<strong class=""value"">103.644,56</strong>",Financeiro e Outros,Intermediários Financeiros,Bancos
84,BPAN4,7.344.136.000,53.710.410.000,7.396.000,-,7.396.000,-,"<strong class=""value"">9.860.674.599</strong>",9.860.674.599,"<strong class=""value"">16.677.229,81</strong>",Financeiro e Outros,Intermediários Financeiros,Bancos
85,BPAR3,1.843.243.000,16.629.442.000,277.694.000,-,277.694.000,-,"<strong class=""value"">1.733.606.633</strong>",1.733.606.633,"<strong class=""value"">-</strong>",Financeiro e Outros,Intermediários Financeiros,Bancos
86,BPAT33,2.322.738.000,16.293.071.000,3.335.668.000,-,0,-,"<strong class=""value"">1.533.769.021</strong>",1.533.769.021,"<strong class=""value"">-</strong>",Financeiro e Outros,Intermediários Financeiros,Bancos
87,BPHA3,-292.294.000,70.490.000,11.206.000,75.325.000,809.000,74.516.000,"<strong class=""value"">70.110.299</strong>",144.626.299,"<strong class=""value"">-</strong>",Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos
88,BRAP3,8.023.719.000,8.130.683.000,565.717.000,0,503.064.000,-503.064.000,"<strong class=""value"">9.215.761.003</strong>",8.712.697.003,"<strong class=""value"">2.615.185,11</strong>",Materiais Básicos,Mineração,Minerais Metálicos
89,BRAP4,8.023.719.000,8.130.683.000,565.717.000,0,503.064.000,-503.064.000,"<strong class=""value"">9.215.761.003</strong>",8.712.697.003,"<strong class=""value"">117.890.250,15</strong>",Materiais Básicos,Mineração,Minerais Metálicos
90,BRBI11,"


()

",775.985.000,9.425.941.000,247.803.000,0,207.665.000,"<strong class=""value"">-207.665.000</strong>",1.403.792.562,"<strong class=""value"">100 %</strong>", ,Financeiro e Outros,Intermediários Financeiros
91,BRBI3,775.985.000,9.425.941.000,247.803.000,0,207.665.000,-207.665.000,"<strong class=""value"">1.403.792.562</strong>",1.196.127.562,"<strong class=""value"">-</strong>",Financeiro e Outros,Intermediários Financeiros,Bancos
92,BRBI4,775.985.000,9.425.941.000,247.803.000,0,207.665.000,-207.665.000,"<strong class=""value"">1.403.792.562</strong>",1.196.127.562,"<strong class=""value"">-</strong>",Financeiro e Outros,Intermediários Financeiros,Bancos
93,BRFS3,14.121.839.000,59.253.909.000,28.535.378.000,22.328.811.000,11.410.353.000,10.918.458.000,"<strong class=""value"">23.285.429.725</strong>",34.203.887.725,"<strong class=""value"">202.282.831,07</strong>",Consumo não Cíclico,Alimentos Processados,Carnes e Derivados
94,BRGE11,1.337.068.000,2.954.450.000,1.636.824.000,0,1.537.165.000,-1.537.165.000,"<strong class=""value"">813.011.891</strong>",-724.153.109,"<strong class=""value"">1.082,00</strong>",Financeiro e Outros,Previdência e Seguros,Seguradoras
95,BRGE12,1.337.068.000,2.954.450.000,1.636.824.000,0,1.537.165.000,-1.537.165.000,"<strong class=""value"">813.011.891</strong>",-724.153.109,"<strong class=""value"">5.092,50</strong>",Financeiro e Outros,Previdência e Seguros,Seguradoras
96,BRGE3,1.337.068.000,2.954.450.000,1.636.824.000,0,1.537.165.000,-1.537.165.000,"<strong class=""value"">813.011.891</strong>",-724.153.109,"<strong class=""value"">1.675,75</strong>",Financeiro e Outros,Previdência e Seguros,Seguradoras
97,BRGE5,1.337.068.000,2.954.450.000,1.636.824.000,0,1.537.165.000,-1.537.165.000,"<strong class=""value"">813.011.891</strong>",-724.153.109,"<strong class=""value"">7.574,00</strong>",Financeiro e Outros,Previdência e Seguros,Seguradoras
98,BRGE6,1.337.068.000,2.954.450.000,1.636.824.000,0,1.537.165.000,-1.537.165.000,"<strong class=""value"">813.011.891</strong>",-724.153.109,"<strong class=""value"">3.476,57</strong>",Financeiro e Outros,Previdência e Seguros,Seguradoras
99,BRGE7,1.337.068.000,2.954.450.000,1.636.824.000,0,1.537.165.000,-1.537.165.000,"<strong class=""value"">813.011.891</strong>",-724.153.109,"<strong class=""value"">8.656,00</strong>",Financeiro e Outros,Previdência e Seguros,Seguradoras
100,BRGE8,1.337.068.000,2.954.450.000,1.636.824.000,0,1.537.165.000,-1.537.165.000,"<strong class=""value"">813.011.891</strong>",-724.153.109,"<strong class=""value"">4.904,50</strong>",Financeiro e Outros,Previdência e Seguros,Seguradoras
101,BRIN3,477.848.000,820.070.000,167.803.000,50.406.000,61.878.000,-11.472.000,"<strong class=""value"">765.840.712</strong>",754.368.712,"<strong class=""value"">-</strong>",Financeiro e Outros,Previdência e Seguros,Corretoras de Seguros
102,BRIT3,1.480.810.000,3.129.299.000,716.924.000,1.234.924.000,500.368.000,734.556.000,"<strong class=""value"">1.437.103.731</strong>",2.171.659.731,"<strong class=""value"">1.274.498,37</strong>",Comunicações,Telecomunicações,Telecomunicações
103,BRIV3,1.718.390.000,25.492.546.000,2.187.725.000,-,2.187.725.000,-,"<strong class=""value"">947.285.043</strong>",947.285.043,"<strong class=""value"">29.819,86</strong>",Financeiro e Outros,Intermediários Financeiros,Bancos
104,BRIV4,1.718.390.000,25.492.546.000,2.187.725.000,-,2.187.725.000,-,"<strong class=""value"">947.285.043</strong>",947.285.043,"<strong class=""value"">52.155,05</strong>",Financeiro e Outros,Intermediários Financeiros,Bancos
105,BRKM3,5.022.596.000,92.015.333.000,37.275.834.000,42.527.789.000,18.679.256.000,23.848.533.000,"<strong class=""value"">13.806.775.689</strong>",37.655.308.689,"<strong class=""value"">1.370.271,74</strong>",Materiais Básicos,Químicos,Petroquímicos
106,BRKM5,5.022.596.000,92.015.333.000,37.275.834.000,42.527.789.000,18.679.256.000,23.848.533.000,"<strong class=""value"">13.806.775.689</strong>",37.655.308.689,"<strong class=""value"">102.327.612,59</strong>",Materiais Básicos,Químicos,Petroquímicos
107,BRKM6,5.022.596.000,92.015.333.000,37.275.834.000,42.527.789.000,18.679.256.000,23.848.533.000,"<strong class=""value"">13.806.775.689</strong>",37.655.308.689,"<strong class=""value"">6.412,08</strong>",Materiais Básicos,Químicos,Petroquímicos
